SerialNo,Candidate,Constituency,Party,CriminalCases,Education,Assest,Liabilities
82,Abdul Rahim Mallik,BANKURA,IND,0,Literate,"Rs 9,77,587","Rs 0, "
83,Abdul Rahman,UDUPI CHIKMAGALUR,IND,0,8th Pass,"Rs 3,34,000","Rs 18,40,000, "
84,Abdul Rais Ahmed Abdul Jabbar,NANDED,Ambedkar National Congress,,5th Pass,Nil,"Rs 0, "
85,Abdul Rajak Ansari,CHATRA,Sadan Vikas Party,,Literate,"Rs 16,45,000","Rs 0, "
86,Abdul Rashid Banday,SRINAGAR,IND,0,10th Pass,"Rs 1,92,55,000","Rs 0, "
87,Abdul Rehman Anjaria,MUMBAI NORTH CENTRAL,Vanchit Bahujan Aaghadi,0,Doctorate,"Rs 10,00,402","Rs 17,09,730, "
88,Abdul Salam,MALAPPURAM,IND,0,8th Pass,"Rs 22,33,000","Rs 13,00,000, "
89,Abdul Samad,NANDED,SP,0,12th Pass,"Rs 63,51,722","Rs 61,10,332, "
90,Abdul Tahir Ansari,BHOPAL,Swarnim Bharat Inquilab,0,Graduate Professional,"Rs 51,37,000","Rs 18,68,000, "
91,Abdul Wahid Khan,ARARIA,IND,,10th Pass,"Rs 15,45,000","Rs 1,19,028, "
92,Abdul Waris,KURNOOL,SDPI,,8th Pass,"Rs 51,10,000","Rs 0, "
93,Abdulbuhari.K,THANJAVUR,IND,0,10th Pass,"Rs 1,30,000","Rs 0, "
94,Abdulkarim Desai,CHIKKBALLAPUR,IND,0,Post Graduate,"Rs 85,99,316","Rs 31,00,000, "
95,Abdulkudus Abdulmajid Molapiya,PATAN,IND,0,Literate,"Rs 7,56,000","Rs 0, "
96,Abdur Rahman,KATIHAR,Peoples Party of India (Democratic),0,12th Pass,"Rs 2,76,540","Rs 40,000, "
97,Abdus Sadek Sarkar,BALURGHAT,INC,,Graduate Professional,"Rs 2,18,68,500","Rs 98,84,000, "
98,Abdus Sattar Mujahed,BIDAR,Akhil Bharatiya Muslim League (Secular),,Graduate,"Rs 25,85,000","Rs 0, "
99,Abha Rai,VAISHALI,IND,0,8th Pass,"Rs 53,96,670","Rs 6,80,000, "
100,Abhas Ray Chaudhuri,BARDHAMAN DURGAPUR,CPI(M),,Post Graduate,"Rs 42,67,888","Rs 0, "
101,Abhay Kumar Sharma,VAISHALI,IND,0,Doctorate,"Rs 1,02,45,902","Rs 0, "
102,Abhijeet Kumar,BHARATPUR,INC,0,Graduate Professional,"Rs 13,30,45,865","Rs 2,83,46,352, "
103,Abhijit Kumar Singh,MADHUBANI,IND,,12th Pass,"Rs 3,00,46,633","Rs 9,00,000, "
