SerialNo,Candidate,Constituency,Party,CriminalCases,Education,Assest,Liabilities
91,ABHICHHEDILALYADAV,Unnao,IND,,12th Pass,"Rs 40,87,000","Rs 0, "
92,ABHIJIT AATYA VASAVE,Nandurbar,IND,0,Not Given,"Rs 25,000","Rs 0, "
93,ABHIJIT DAS,Diamond Harbour,BJP,,Post Graduate,"Rs 10,20,000","Rs 0, "
94,Abhijit Majumdar,Darjeeling,CPI(ML)(L),0,Post Graduate,"Rs 28,55,000","Rs 6,00,000, "
95,ABHIMANI NARENDRA,Bangalore South,IND,0,10th Pass,"Rs 8,65,000","Rs 0, "
96,Abhimani Narendra,Bangalore Central,IND,0,10th Pass,"Rs 8,65,000","Rs 0, "
97,ABHINAV MODI,Kishanganj,IND,,Graduate,"Rs 9,320","Rs 1,03,297, "
98,Abhiram Besra,Purulia,JDP,0,10th Pass,"Rs 60,000","Rs 0, "
99,ABHISHEK,Kairana,IND,0,10th Pass,"Rs 3,60,000","Rs 0, "
100,ABINASH KISHORE BORAH,Jorhat,RWS,0,10th Pass,"Rs 1,60,000","Rs 2,68,817, "
101,Abinash Saren,Purulia,Amra Bangalee,0,Graduate,"Rs 52,000","Rs 0, "
102,ABU ASIM AZMI,Mumbai North West,SP,,Graduate,"Rs 1,24,73,88,991","Rs 3,32,56,484, "
103,ABU CHAND MAHMMAD,Barpeta,RPI(A),0,Others,"Rs 3,00,000","Rs 0, "
104,Abu Hasem Khan Choudhury,Maldaha Dakshin,INC,0,Doctorate,"Rs 87,82,797","Rs 0, "
105,ABUPACKER SITHIK J,Sivaganga,IND,,Not Given,Nil,"Rs 0, "
106,Acharia Basudeb,Bankura,CPM,0,Post Graduate,"Rs 32,49,037","Rs 0, "
107,ACHCHHELAL,Lalganj,IND,0,8th Pass,"Rs 1,20,000","Rs 0, "
108,ACHHEYLAL NISHAD,Jaunpur,NELU,0,Not Given,"Rs 19,95,000","Rs 0, "
109,AD ARUN R. KEJRIWAL,Mumbai North,IND,0,Post Graduate,"Rs 64,28,110","Rs 35,35,629, "
110,AD. ANARYA PUNDALIK PAWAR,Mumbai South Central,BBM,,Post Graduate,"Rs 3,88,858","Rs 0, "
111,AD. BAIJNATH KUSHWAHA,Morena,SP,0,Post Graduate,"Rs 2,35,000","Rs 50,000, "
112,AD. GULVE RAMNATH SANTUJI,Nashik,IND,0,Not Given,"Rs 2,02,21,552","Rs 0, "
113,AD. RAJESH YASHVANT BHOSALE,Mumbai South,PPOI,0,Not Given,"Rs 1,08,244","Rs 0, "
114,AD.KAMAT GURUDAS VASANT,Mumbai North West,INC,0,Graduate Professional,"Rs 6,39,26,963","Rs 0, "
115,ADAGALE BHAUSAHEB RAMCHANDRA,Pune,IND,0,10th Pass,"Rs 8,31,500","Rs 40,000, "
116,ADAGUR H. VISWANATH,Mysore,INC,0,Graduate Professional,"Rs 2,82,91,172","Rs 73,67,061, "
117,ADARA BAURI,Bolpur,AUDF,0,5th Pass,Nil,"Rs 0, "
118,Ade Tukaram,Adilabad,BJP,0,10th Pass,"Rs 8,65,000","Rs 3,70,000, "
119,ADHAGALE RAJENDRA NAMDEV,Shirdi,IND,0,8th Pass,"Rs 3,06,500","Rs 0, "
120,ADHALRAO SHIVAJI DATTATRAY,Shirur,SHS,,Post Graduate,"Rs 12,71,13,134","Rs 1,62,21,275, "
121,ADHIKARI SISIR KUMAR,Kanthi,AITC,,12th Pass,"Rs 10,83,159","Rs 0, "
122,ADHIKARI SUVENDU,Tamluk,AITC,,Graduate,"Rs 47,51,934","Rs 0, "
123,ADHIR RANJAN CHOWDHURY,Baharampur,INC,,10th Pass,"Rs 2,99,43,557","Rs 19,26,083, "
124,ADHIVAKTA SHANKAR PENDAM,Betul,IND,0,Post Graduate,"Rs 61,75,000","Rs 11,000, "
125,ADI NARAYANA REDDY .V,Rajampet,BSSP,0,Graduate Professional,"Rs 43,79,300","Rs 11,40,000, "
126,Aditya Kisku,Jhargram,IND,0,12th Pass,"Rs 5,80,515","Rs 0, "
127,ADITYA NATH,Gorakhpur,BJP,,Graduate,"Rs 21,82,212","Rs 0, "
128,ADREES AHMAD TABBASUM,Udhampur,CPI,0,Post Graduate,Nil,"Rs 0, "
129,ADSUL ANANDRAO VITHOBA,Amravati,SHS,,Graduate,"Rs 1,77,08,418","Rs 0, "
130,ADURAM,Bikaner,Rajasthan Vikas Party,0,Literate,"Rs 25,06,700","Rs 3,00,000, "
131,Adv A Sampath,Attingal,CPM,,Post Graduate,"Rs 89,99,000","Rs 21,50,029, "
132,Adv Anu Sasi,Kollam,IND,0,Graduate Professional,"Rs 17,336","Rs 0, "
133,Adv Biju M John,Idukki,BSP,,Post Graduate,"Rs 83,43,500","Rs 0, "
134,Adv Chittoor Rajamannar,Idukki,IND,0,Graduate Professional,"Rs 23,85,027","Rs 7,02,964, "
135,Adv E Aboobacker,Malappuram,BSP,0,Graduate Professional,"Rs 1,86,974","Rs 0, "
136,Adv Jaimon Thankachan,Kottayam,IND,0,Graduate Professional,"Rs 2,16,700","Rs 10,000, "
137,Adv Joshy Thakaran,Thrissur,BSP,,Graduate,"Rs 16,71,800","Rs 0, "
138,Adv K M Jayanandan,Kollam,BSP,0,Post Graduate,"Rs 25,19,592","Rs 2,10,000, "
139,Adv K Noorudheen Musaliar,Vadakara,BSP,0,Graduate,"Rs 1,07,41,000","Rs 0, "
140,Adv K V Sabu,Chalakudy,BJP,0,Graduate Professional,"Rs 35,81,000","Rs 5,00,000, "
141,Adv Kumaran Kutty,Kozhikode,IND,0,Graduate Professional,"Rs 1,26,46,330","Rs 3,098, "
142,Adv N Aravindan,Malappuram,BJP,0,Post Graduate,"Rs 16,81,000","Rs 8,36,879, "
143,Adv N Hariharan Nair,Thrissur,IND,0,Graduate Professional,"Rs 1,83,00,000","Rs 2,30,000, "
144,Adv P A Mohamed Riyas,Kozhikode,CPM,0,10th Pass,"Rs 13,000","Rs 0, "
145,Adv P Satheedevi,Vadakara,CPM,,Graduate Professional,"Rs 19,68,782","Rs 0, "
146,Adv P T Thomas,Idukki,INC,0,Post Graduate,"Rs 39,84,094","Rs 4,48,284, "
147,Adv Ramachandran Nair P,Thiruvananthapuram,CPI,0,Graduate Professional,"Rs 21,57,292","Rs 6,38,195, "
148,Adv Sabi Joseph,Kozhikode,IND,0,Graduate Professional,"Rs 7,63,738","Rs 0, "
149,Adv Shanavas Malappuram,Wayanad,IND,0,Graduate Professional,"Rs 15,500","Rs 0, "
150,Adv Suresh Kurup,Kottayam,CPM,0,Graduate Professional,"Rs 38,66,004","Rs 11,250, "
151,Adv U P Joseph,Chalakudy,CPM,0,Graduate Professional,"Rs 36,24,789","Rs 5,30,615, "
152,ADV. BABASAHEB SADSHIVRAO GAIKWAD,Latur,BSP,0,Graduate Professional,"Rs 67,27,491","Rs 19,99,642, "
153,ADV. BANSODE SHARAD MARUTI,Solapur,BJP,0,Graduate Professional,"Rs 2,30,38,727","Rs 0, "
154,ADV. BHAUSAHEB ANIL BELURE (BEMBLIKAR),Osmanabad,IND,0,Graduate Professional,"Rs 50,000","Rs 0, "
155,ADV. C.S. BAHETI,Nanded,JP,0,Post Graduate,"Rs 74,34,500","Rs 4,13,333, "
156,ADV. CHINTAMAN NAVSHA VANGA,Palghar,BJP,0,Graduate Professional,"Rs 16,58,267","Rs 1,22,332, "
157,ADV. DADMAL PRABHAKAR MAHAGUJI,Gadchiroli-Chimur,PRBP,0,Post Graduate,"Rs 15,06,000","Rs 60,326, "
158,ADV. DHANANJAY SHAMLALJI RAJABHOJ,Bhandara-Gondiya,IND,0,Post Graduate,"Rs 16,10,000","Rs 0, "
159,ADV. DUDHGAONKAR GANESHRAO NAGORAO,Parbhani,SHS,0,Graduate Professional,"Rs 2,81,11,720","Rs 0, "
160,ADV. DUPARE ULHAS SHALIKRAM,Ramtek,IND,0,Graduate Professional,"Rs 1,55,000","Rs 0, "
161,ADV. GAJANAN SADASHIV KAWALE,Nagpur,RP(K),0,Graduate Professional,"Rs 16,41,000","Rs 0, "
162,ADV. HAZARE DATTABHAU KRUSHNARAO,Chandrapur,BSP,0,Graduate Professional,"Rs 62,19,000","Rs 5,15,000, "
163,Adv. K Francis George,Idukki,KEC,0,Graduate Professional,"Rs 73,00,123","Rs 20,48,387, "
164,ADV. KASABEKAR SHRIDHAR LIMBAJI,Solapur,RSPS,0,Graduate Professional,"Rs 10,22,756","Rs 9,400, "
165,ADV. MATIN AHMED,Jalgaon,BSP,,Graduate Professional,"Rs 20,000","Rs 0, "
166,ADV. NARENDRA KESHAV SAWAIKAR,South Goa,BJP,0,Graduate Professional,"Rs 34,83,623","Rs 0, "
167,ADV. PRAVIN MADHUKAR THAKUR,Raigad,IND,,Graduate Professional,"Rs 4,55,59,529","Rs 6,34,195, "
168,ADV. RAJU MANGESHKAR ALIAS RAJENDRA NAIK,South Goa,CPI,0,Post Graduate,"Rs 31,14,150","Rs 99,614, "
169,ADV. RAMRAO PANDURANG WAGHMARE,Nanded,IND,0,Literate,"Rs 80,000","Rs 0, "
170,ADV. SUDHIR HIRAMAN TAYADE,Amravati,IND,0,Graduate Professional,Nil,"Rs 0, "
171,ADV. UPASHA BANSI TAYWADE,Nagpur,IND,0,Post Graduate,"Rs 5,40,000","Rs 0, "
172,ADV. VASANTA UMRE,Nagpur,DPI,0,Post Graduate,"Rs 15,17,500","Rs 0, "
173,ADV. VASANTRAO JIVANRAO MORE,Jalgaon,NCP,,Graduate Professional,"Rs 1,50,21,341","Rs 17,81,904, "
174,ADV. YUVRAJ ANANDRAOJI BAGDE,Ramtek,IND,,Post Graduate,"Rs 50,000","Rs 0, "
175,ADV.B.M.KAUSHIK,Hoshangabad,BSP,0,Graduate Professional,"Rs 13,25,500","Rs 0, "
176,ADV.NATKAR RAMRAO SHESHRAO,Beed,IND,,Post Graduate,"Rs 33,22,517","Rs 0, "
177,ADV.S.S.SALVE RETIRED JUDGE,Kalyan,BBM,0,Post Graduate,"Rs 44,50,000","Rs 26,000, "
178,ADV.SHIVSHANKAR DATTATRAY SHINDE,Maval,KM,0,Graduate Professional,"Rs 20,00,000","Rs 75,000, "
179,ADV.SUBHASH NARHAR GODSE,Pune,IND,0,Graduate,"Rs 2,05,720","Rs 0, "
180,ADVOCATE AZHAR UL ALIM,Balaghat,IND,0,Post Graduate,"Rs 79,46,200","Rs 2,50,000, "
181,ADVOCATE MOULVI ZAMEERUDDIN,Bidar,NDEP,0,Not Given,"Rs 21,000","Rs 3,50,500, "
182,ADVOCATE PRAMOD MAHADEV GORE,Maval,IND,0,Graduate,"Rs 51,55,000","Rs 0, "
183,ADVOCATE RAMESHWAR NEEKHRA,Jabalpur,INC,0,Post Graduate,"Rs 2,86,28,500","Rs 0, "
184,ADVOCATE TUKARAM WAMANRAO BANSODE,Maval,IND,0,Post Graduate,"Rs 5,61,092","Rs 0, "
185,AdvocateT R Nirala,Bilaspur,BSP,0,Post Graduate,"Rs 8,05,000","Rs 1,00,000, "
186,AFROZ HUSNA. K.S,Tiruvannamalai,LJP,0,12th Pass,"Rs 4,47,831","Rs 83,203, "
187,AFZAL ANSARI,Ghazipur,BSP,,Post Graduate,"Rs 4,58,44,836","Rs 0, "
188,AGAM LAL MAHTO,Ranchi,IND,0,12th Pass,"Rs 39,00,000","Rs 0, "
189,AGATHA K. SANGMA,Tura,NCP,0,Post Graduate,"Rs 66,44,295","Rs 0, "
190,AGNISHREENIVAS.Y.E,Bangalore Rural,IND,0,Graduate,"Rs 1,05,000","Rs 0, "
191,AHAMED HUSSAIN,Kanpur,IND,,Not Given,"Rs 5,379","Rs 0, "
192,AHIR HANSARAJ GANGARAM,Chandrapur,BJP,,10th Pass,"Rs 80,84,050","Rs 2,62,243, "
193,AHIR KAMLA YADAV,Damoh,SP,0,Literate,"Rs 52,50,000","Rs 0, "
194,AHIRWAR GYADIN,Tikamgarh,IND,,12th Pass,"Rs 12,85,715","Rs 97,500, "
195,AHIRWAR JAGDISH PRASAD,Tikamgarh,LJP,0,Graduate,"Rs 37,000","Rs 0, "
196,AHIRWAR LAKHANLAL PURVI,Bhopal,RPI(A),0,8th Pass,"Rs 2,35,000","Rs 0, "
197,AHIRWAR NARESH BOUDHA,Sagar,BSP,,Post Graduate,"Rs 12,05,000","Rs 80,200, "
198,AHIRWAR RAMSWAROOP,Tikamgarh,IND,0,Not Given,"Rs 4,60,521","Rs 0, "
199,AHIRWAR VRINDAVAN,Tikamgarh,INC,0,12th Pass,"Rs 1,63,000","Rs 0, "
200,Ahitosh Maity,Ghatal,RDMP,0,Post Graduate,"Rs 18,37,500","Rs 1,808, "
201,AHMAD AFJAL SHAIKH,Thane,IND,0,10th Pass,"Rs 3,37,000","Rs 0, "
202,AHMAD ASHFAQUE KARIM,Katihar,LJP,0,Graduate,"Rs 3,37,33,000","Rs 54,44,000, "
203,AHMAD RAZA,Muzaffarpur,IND,0,Literate,"Rs 1,50,150","Rs 0, "
204,AHMED MARECAR M.H,Mayiladuthurai,IND,0,10th Pass,Nil,"Rs 0, "
205,AIJAZ AHMED FAROOQI,Hassan,IND,0,12th Pass,"Rs 7,70,000","Rs 4,00,000, "
206,AJAB LAL,Balaghat,BSP,0,Graduate,"Rs 4,25,000","Rs 0, "
207,AJAB SINGH,Kannauj,Akhil Bharatiya Ashok Sena,0,12th Pass,"Rs 25,55,500","Rs 0, "
208,AJAB SINGH KUSHWAH,Gwalior,BSP,,Not Given,"Rs 44,06,000","Rs 0, "
209,AJABRAO UTTAMRAO BHONGADE,Akola,IND,0,Graduate,"Rs 1,07,000","Rs 1,54,000, "
210,AJAS NOORMINYA,Hingoli,DESEP,0,10th Pass,"Rs 60,000","Rs 0, "
211,AJAY AGARWAL,Meerut,Samajwadi Janata Party (Rashtriya),0,Graduate Professional,"Rs 3,34,25,000","Rs 25,487, "
212,AJAY ALIAS AABA DADA JADHAV,Ratnagiri Sindhudurg,KKJHS,0,Others,"Rs 7,19,500","Rs 16,000, "
213,AJAY CHAKRABORTY,Basirhat,CPI,0,Graduate,"Rs 1,53,89,448","Rs 0, "
214,AJAY GOYAL,Chandigarh,IND,0,Graduate Professional,"Rs 17,73,52,496","Rs 0, "
215,Ajay Jaiswal,Rajnandgaon,IND,,8th Pass,"Rs 15,02,000","Rs 0, "
216,AJAY KASYAP - GUDDU,Jaunpur,IND,0,Literate,"Rs 9,60,500","Rs 0, "
217,AJAY KATHURIA,Hardwar,IND,0,Post Graduate,"Rs 1,57,985","Rs 0, "
218,AJAY KUMAR,Faizabad,KKJHS,0,12th Pass,"Rs 5,40,000","Rs 0, "
219,AJAY KUMAR,Kheri,BJP,,Graduate Professional,"Rs 1,53,25,070","Rs 15,60,020, "
220,Ajay Kumar,Karakat,RPI(A),0,Graduate,"Rs 3,25,000","Rs 0, "
221,AJAY KUMAR,Gorakhpur,IND,0,12th Pass,"Rs 45,600","Rs 0, "
222,AJAY KUMAR JALAN,Darbhanga,INC,,Graduate,"Rs 37,27,735","Rs 90,000, "
223,AJAY KUMAR PANDEY,Sheohar,IND,0,10th Pass,"Rs 1,02,000","Rs 0, "
224,AJAY KUMAR SINGH,Mainpuri,IND,0,Graduate,"Rs 40,000","Rs 3,400, "
225,Ajay kumar Verma,Jahanabad,IND,0,10th Pass,"Rs 17,18,000","Rs 6,00,000, "
226,AJAY MAKAN,New Delhi,INC,,Post Graduate,"Rs 4,01,48,040","Rs 97,120, "
227,AJAY MITTAL,Chandni Chowk,AIFB,,12th Pass,"Rs 3,26,200","Rs 0, "
228,Ajay Pali,Rajnandgaon,IND,0,5th Pass,"Rs 1,30,000","Rs 5,00,000, "
229,AJAY PRAKASH HARIT,New Delhi,IND,0,12th Pass,"Rs 29,36,586","Rs 0, "
230,AJAY PRATAP SINGH,Aonla,IND,0,Not Given,Rs 31,"Rs 0, "
231,AJAY RAI,Varanasi,SP,,Graduate,"Rs 55,13,025","Rs 0, "
232,AJAY RAWAT,Dhar,BSP,0,Graduate,"Rs 1,16,000","Rs 0, "
233,AJAY SHANKER,Mirzapur,GMS,0,Others,Nil,"Rs 0, "
234,AJAY SINGH,Asansol,BSP,0,12th Pass,"Rs 53,200","Rs 0, "
235,AJAY SINGH,Bhiwani-Mahendragarh,IND,0,Graduate,"Rs 83,355","Rs 0, "
236,AJAY SINGH CHAUTALA,Bhiwani-Mahendragarh,INLD,,Post Graduate,"Rs 29,97,16,920","Rs 43,82,149, "
237,AJAY TAMTA,Almora,BJP,0,12th Pass,"Rs 5,11,000","Rs 4,30,663, "
238,AJAY TANDON,Ludhiana,IND,0,10th Pass,"Rs 1,32,000","Rs 0, "
239,AJAY VASANT PAITHANKAR,Pune,IND,0,Graduate,"Rs 30,36,382","Rs 4,00,000, "
240,Ajayakumar Kuttikkat,Thrissur,JD(U),,12th Pass,"Rs 2,20,000","Rs 0, "
241,AJAYKUMAR DINESHKUMAR PATEL,Surat,BSP,0,Post Graduate,"Rs 6,24,821","Rs 3,69,000, "
242,AJAYPAL,Sikar,IND,0,10th Pass,"Rs 16,68,470","Rs 1,09,000, "
243,AJEET KUMAR,Jamshedpur,BSP,0,Graduate,"Rs 26,34,938","Rs 3,49,714, "
244,AJEET MANI,Maharajganj,SP,0,Doctorate,"Rs 1,97,09,687","Rs 6,75,417, "
245,AJEET SINGH,Badaun,PDFO,,Post Graduate,"Rs 55,000","Rs 0, "
246,AJEYA SINGH,Fatehpur,JM,0,Graduate Professional,"Rs 26,94,51,168","Rs 0, "
247,AJIM AHMED KHAN AJIJ KHAN,Parbhani,DESEP,0,Graduate,"Rs 60,000","Rs 0, "
248,AJIM GANI SHEKH,Bhiwandi,RKSP,0,8th Pass,"Rs 2,10,000","Rs 0, "
249,AJIT KUMAR JAIN (PATWA),Indore,IND,0,8th Pass,"Rs 6,60,000","Rs 0, "
250,Ajit Kumar Jena,Jajpur,Samruddha Odisha,0,Post Graduate,"Rs 7,51,091","Rs 0, "
251,Ajit Kumar Nayak,Kandhamal,IND,0,Graduate,"Rs 35,500","Rs 0, "
252,Ajit Prasad Mahato,Purulia,JMM,,Graduate,"Rs 3,93,866","Rs 0, "
253,Ajit Prasad Mehta,Arrah,JKM,0,12th Pass,"Rs 12,06,500","Rs 0, "
254,AJIT SHARMA,Bhagalpur,BSP,,Graduate,"Rs 6,14,16,337","Rs 50,01,262, "
255,AJIT SINGH,Baghpat,RLD,0,Post Graduate,"Rs 5,82,32,462","Rs 13,077, "
