SerialNo,Candidate,Constituency,Party,CriminalCases,Education,Assest,Liabilities 
847,DHANAJI BHIMA LAMANI,Bidar,RSPS,0,Not Given,"Rs 60,000","Rs 0, "
848,DHANANJAY SINGH,Jaunpur,LJNSP,,Graduate,"Rs 10,07,900","Rs 0, "
849,Dhananjoy Ghosh,Bolpur,INC,0,Graduate,"Rs 9,39,568","Rs 14,000, "
850,DHANARAJU. K,Tindivanam,PMK,0,Doctorate,"Rs 26,58,860","Rs 0, "
851,DHANESHAWAR LILHARE,Balaghat,IND,0,Not Given,"Rs 1,15,000","Rs 0, "
852,DHANI RAM,Kangra,IND,0,Illiterate,"Rs 3,81,056","Rs 0, "
853,DHANI RAM SHANDIL,Simla,INC,0,Doctorate,"Rs 92,72,958","Rs 958, "
854,DHANRAJ,Chhindwara,IND,0,Literate,"Rs 18,000","Rs 0, "
855,DHANRAJ PATEL,Janjgir,AD,0,12th Pass,"Rs 4,60,000","Rs 0, "
856,"DHANUSKODI ATHITHAN, R.",Tirunelveli,INC,,Post Graduate,"Rs 1,63,22,132","Rs 55,73,213, "
857,DHARAM PAL,Delhi Sadar,BSP,0,Others,"Rs 26,01,500","Rs 0, "
858,DHARAM PAL SINGH MALIK,Sonepat,INC,0,Post Graduate,"Rs 71,34,286","Rs 15,288, "
859,DHARAM PAUL SHARMA,Chandigarh,IND,0,Post Graduate,"Rs 28,82,817","Rs 0, "
860,DHARAMDAS MAHILANG,Mahasamund,IND,,Graduate,"Rs 29,15,945","Rs 2,49,095, "
861,DHARAMPAL YADAV D.P.YADAV,Sambhal,Rashtriya Parivartn Dal,,Graduate,"Rs 10,96,67,170","Rs 0, "
862,DHARMALINGAM MARUR. N,Cuddalore,RLD,0,8th Pass,"Rs 7,77,000","Rs 0, "
863,DHARMENDRA,Bikaner,BJP,0,12th Pass,"Rs 23,03,26,000","Rs 54,28,225, "
864,DHARMENDRA PRADHAN,Deogarh,BJP,0,Post Graduate,"Rs 4,76,756","Rs 3,06,250, "
865,DHARMESH PRASAD VERMA,Bettiah,Samajwadi Janata Party (Rashtriya),0,Others,"Rs 60,00,000","Rs 15,44,000, "
866,DHIAN SINGH MAND,Ferozepur,SAD(A)(Simranjit Singh Mann),0,Others,"Rs 87,000","Rs 35,000, "
867,Dhibar Shova,Durgapur,INC,0,Graduate,"Rs 5,70,000","Rs 0, "
868,Dhiren Chandra Rajak,Purulia,JKP(N),0,Others,"Rs 1,00,000","Rs 0, "
869,DHIRENDRA AGARWAL,Chatra,RJD,,Doctorate,"Rs 2,80,85,948","Rs 7,50,000, "
870,DHOBALE LAXMAN KONDIBA,Osmanabad,NCP,,Post Graduate,"Rs 79,98,797","Rs 6,74,054, "
871,DHODI DHIRU RANCHHOD,Daman And Diu,BSP,0,Graduate,Rs 500,"Rs 0, "
872,DHOTRE BHANUDAS SAKHARAM,Thane,HJP,0,12th Pass,Nil,"Rs 2,16,678, "
873,DHOTRE SANJAY SHAMRAO,Akola,BJP,0,Graduate Professional,"Rs 1,22,89,645","Rs 24,08,285, "
874,DHRUBA KUMAR SAIKIA,Nowgong,AGP,0,Post Graduate,"Rs 18,66,432","Rs 1,90,382, "
875,DHWAJEN BRAHMA,Gauhati,IND,0,Graduate,"Rs 13,61,774","Rs 0, "
876,DIAS JAWAHAR EMERCIANO,Mormugao,MAG,0,Post Graduate,"Rs 80,33,352","Rs 0, "
877,DIBYA KISHORE DAS,Dhenkanal,IND,0,Others,"Rs 1,51,000","Rs 0, "
878,DIGVIJAY SINGH,Banka,JD(U),0,Post Graduate,"Rs 2,07,74,629","Rs 4,29,520, "
879,DIJA RAJ TRIPURA,Tripura East,IND,0,Others,Nil,"Rs 0, "
880,DILDAR HUSSIN BEG,Delhi Sadar,IND,0,12th Pass,"Rs 2,95,73,000","Rs 0, "
881,DILEEP SANGHANI,Amreli,BJP,0,Post Graduate,"Rs 85,29,967","Rs 18,81,000, "
882,Dilip Bhattacharya,Serampore,IND,,Graduate,"Rs 20,46,308","Rs 37,500, "
883,DILIP KUMAR PANJIAR,Kishanganj,IND,0,Graduate,"Rs 50,000","Rs 0, "
884,DILIP RAAJA DONEPUDI,Tenali,BSP,0,Graduate,Nil,"Rs 0, "
885,DILIPRAO D. PATIL,Mumbai North West,BMSM,0,10th Pass,"Rs 62,10,000","Rs 28,000, "
886,DILSHAD ALI,Kairana,IND,0,Graduate Professional,"Rs 68,551","Rs 0, "
887,DIMBESWAR BORA,Kaliabor,SP,0,Graduate,"Rs 11,96,000","Rs 0, "
888,DINA NATH MANJHI,Gopalganj,IND,0,Graduate,"Rs 2,88,000","Rs 0, "
889,Dinesh Chandra Sikdar,Burdwan,BSP,0,10th Pass,Nil,"Rs 0, "
890,DINESH CHANDRA YADAV,Saharsa,JD(U),,10th Pass,"Rs 43,96,467","Rs 4,48,483, "
891,DINESH KATIWAL,Jalore,BSP,0,10th Pass,"Rs 28,75,000","Rs 0, "
892,Dinesh Kumar Sharma,Barrackpore,IND,0,Graduate,"Rs 50,000","Rs 0, "
893,DINESH PRASAD CHAUDHARY,Muzaffarpur,IND,0,Not Given,Nil,"Rs 0, "
894,DINESH RAI,Maharajganj,IND,0,Not Given,"Rs 1,200","Rs 0, "
895,DINSHA PATEL,Kaira,INC,0,10th Pass,"Rs 57,27,475","Rs 30,83,830, "
896,DIP GOGOI,Kaliabor,INC,0,Graduate,"Rs 3,42,751","Rs 0, "
897,Dipak Krishna Bhowmik,Jalpaiguri,INC,0,Graduate,"Rs 6,47,210","Rs 0, "
898,DIPEN TANTI,Tezpur,IND,0,Graduate,"Rs 3,25,000","Rs 0, "
899,Dipti Barman,Balurghat,INC,0,10th Pass,"Rs 10,500","Rs 0, "
900,DIWAKAR DHONDBAJI PATNE,Nagpur,VJC,0,Graduate,"Rs 1,32,26,282","Rs 8,70,000, "
901,DIWAKAR GULAB PENDAM,Chandrapur,IND,0,8th Pass,"Rs 4,00,000","Rs 0, "
902,DIWAKAR LAL VANSHI,Bhagalpur,IND,0,10th Pass,"Rs 26,700","Rs 0, "
903,DIWAKAR MANI TRIPATHI,Bettiah,IND,0,Graduate,"Rs 5,24,100","Rs 0, "
904,DIWARE RAMDAS RAJERAM,Nagpur,IND,0,Not Given,"Rs 50,000","Rs 0, "
905,DNYANESHWAR RAURALE,Amravati,Ambedkarist Republican Party,0,12th Pass,"Rs 3,05,000","Rs 0, "
906,DNYOSO KONDEKAR ALIAS VIJAYPRAKASH,Latur,IND,0,Literate,"Rs 1,00,100","Rs 0, "
907,DODDA KAMESWARA RAO,Machilipatnam,IND,0,10th Pass,"Rs 15,00,000","Rs 0, "
908,DODTALE BALASAHEB PRABHAKAR,Beed,RSPS,0,Post Graduate,Nil,"Rs 0, "
909,DOMAKONDA RAVI KUMAR,Vijayawada,IND,0,10th Pass,"Rs 4,05,000","Rs 0, "
910,DONEPUDI SRINIVAS,Vijayawada,IND,0,Others,"Rs 1,31,000","Rs 0, "
911,DR D SURENDRANATH,Calicut,IND,0,Doctorate,"Rs 20,000","Rs 0, "
912,DR EDWARD EDEZHATH,Ernakulam,INC,0,Post Graduate,"Rs 16,31,540","Rs 0, "
913,DR K KISHOREKUMAR,Mavelikara,IND,0,Doctorate,"Rs 3,35,000","Rs 1,30,000, "
914,DR K N AJOYKUMAR,Badagara,IND,0,Post Graduate,"Rs 4,05,000","Rs 12,230, "
915,DR LAXMINARAYAN PANDEYA,Mandsaur,BJP,0,Post Graduate,"Rs 26,50,506","Rs 7,26,872, "
916,DR MANJUNATH B R,Bangalore South,IND,0,Not Given,Nil,"Rs 0, "
917,DR MANOJ KUMAR NISHAD,Ghazipur,AD,0,Graduate,"Rs 65,000","Rs 0, "
918,DR NITIN SOPANRAO WAGHE,Latur,RSPS,0,Doctorate,"Rs 20,000","Rs 0, "
919,DR P D RAJAN,Chirayinkil,BSP,0,Doctorate,"Rs 4,45,146","Rs 0, "
920,DR S VENUGOPALA CHARY,Adilabad,TDP,0,Others,"Rs 1,15,80,000","Rs 12,47,053, "
921,DR SHANMUGAM,Andaman & Nicobar Islands,LJNSP,0,Doctorate,"Rs 61,66,416","Rs 67,070, "
922,DR SRIDHARA UDUPA,Davangere,IND,0,Doctorate,"Rs 12,16,579","Rs 0, "
923,DR.  SHARDA HARIDAS SONAVANE,Pandharpur,IND,0,Graduate,"Rs 2,55,000","Rs 0, "
924,DR. AMAR SINGH KUSHWAHA,Shahjahanpur,IND,0,Doctorate,"Rs 6,25,000","Rs 0, "
925,DR. AMRIT LAL BHARTI,Chail,BJP,0,Graduate Professional,"Rs 35,43,292","Rs 1,45,128, "
926,DR. ARUN GOPALRAO DESHPANDE,Chandrapur,IND,0,Post Graduate,"Rs 21,52,000","Rs 1,93,000, "
927,DR. ARUN KUMAR SARMAH,Lakhimpur,AGP,0,Not Given,"Rs 14,67,028","Rs 0, "
928,DR. BALIRAM,Lalganj,BSP,,Post Graduate,"Rs 47,14,309","Rs 9,99,669, "
929,DR. BANMALA GOLPELWAR,Nagpur,IND,,Doctorate,"Rs 31,20,000","Rs 1,33,783, "
930,DR. BARDE MACHHINDRANATH SURYABHAN,Dhule,IND,0,Doctorate,"Rs 4,20,030","Rs 4,00,000, "
931,DR. BASANT PAHRE,Bilaspur,INC,0,Not Given,Nil,"Rs 0, "
932,DR. BHAGAWAN KHANDERAO ALIAS DR. B. K. YADAV,Satara,LRP,0,Doctorate,"Rs 37,58,027","Rs 88,805, "
933,DR. BHAGIRATHI KHUTE,Bilaspur,GGP,0,Not Given,Nil,"Rs 0, "
934,DR. BHAGWANDASS,Hardwar,BSP,0,Graduate Professional,"Rs 3,31,888","Rs 0, "
935,DR. BHARAT SINGH BAGHEL,Jalesar,LP(S),0,Graduate,"Rs 5,88,003","Rs 0, "
936,DR. BHIKKHOO R. D. K. PRAGYASHEEL,Balaghat,IND,0,Not Given,Nil,"Rs 0, "
937,DR. BHISE INDRAKUMAR DEVRAO,Ahmednagar,RSPS,,Doctorate,"Rs 29,19,000","Rs 12,00,000, "
938,DR. BHISE INDRAKUMAR DEVRAO,Kopargaon,RSPS,,Doctorate,"Rs 28,31,000","Rs 11,85,000, "
939,DR. BIJENDRA KUMAR,Madhepura,IND,,Doctorate,"Rs 6,100","Rs 0, "
940,Dr. Bikram Sarkar,Howrah,AITC,0,Not Given,"Rs 50,40,000","Rs 49,831, "
941,DR. CHARANDAS MAHANT,Janjgir,INC,0,Doctorate,"Rs 68,71,000","Rs 11,61,000, "
942,Dr. Dhiren Mondal,Diamond Harbour,BSP,0,Post Graduate,"Rs 99,322","Rs 0, "
943,Dr. G. S. Yonzone,Darjeeling,BJP,0,Others,"Rs 37,79,800","Rs 0, "
944,DR. G.RAGHAVULU,Nagarkurnool,IND,0,Others,"Rs 1,35,000","Rs 1,70,000, "
945,DR. GOVIND CHOUHAN,Sarangarh,IND,0,Post Graduate,Nil,"Rs 0, "
946,DR. GYANVATI SINGH,Mathura,RLD,0,Post Graduate,"Rs 24,10,768","Rs 0, "
947,DR. H.T. SANGLIANA,Bangalore North,BJP,0,Graduate,"Rs 76,66,050","Rs 0, "
948,DR. HARENDRA KUMAR,Vaishali,JD(U),,Doctorate,"Rs 4,80,000","Rs 0, "
949,DR. HARI SINGH AZAD,Meerut,ABLTP,0,8th Pass,Nil,"Rs 0, "
950,DR. HARIKRISHNA PRASAD PANIKA,Sidhi,BSP,0,Post Graduate,"Rs 1,50,586","Rs 0, "
951,DR. HEERAMAN BANJARE,Raipur,BSP,0,Graduate,"Rs 18,49,773","Rs 0, "
952,DR. IRSHAD AHMAD KHAN,Purnea,SP,0,Post Graduate,"Rs 1,07,62,267","Rs 0, "
953,DR. JADHAV RAVI SAMPATRAO,Washim,BSP,0,Doctorate,"Rs 4,01,586","Rs 2,10,000, "
954,DR. JAYANTA RONGPI,Autonomous District,CPI(ML)(L),0,Post Graduate,"Rs 57,68,428","Rs 0, "
955,DR. JOYASREE GOSWAMI MAHANTA,Dhubri,IND,0,Doctorate,"Rs 1,52,69,365","Rs 0, "
956,DR. K. H. JAMBHULKAR,Nagpur,IND,,Doctorate,"Rs 14,75,218","Rs 0, "
957,DR. K. L. RAY ( KISHANLAL),Morena,SMSP,0,Doctorate,"Rs 31,18,947","Rs 3,06,329, "
958,DR. K. P. SINGH,Faridabad,IND,0,Doctorate,"Rs 1,92,500","Rs 0, "
959,DR. K. S. MANOJ,Alleppey,CPM,0,Doctorate,"Rs 8,00,231","Rs 54,317, "
960,DR. KALPANA PARULEKAR,Mandsaur,NCP,0,Doctorate,"Rs 64,745","Rs 0, "
961,DR. KARAN SINGH YADAV,Alwar,INC,0,Post Graduate,"Rs 40,23,529","Rs 10,22,864, "
962,DR. KATHIRIA VALLABHBHAI RAMJIBHAI,Rajkot,BJP,0,Graduate Professional,"Rs 79,71,781","Rs 1,10,729, "
963,DR. KRISHAN MOHAN TRIPATHI,Azamgarh,Suheldev Bhartiya Samaj Party,0,Doctorate,"Rs 10,40,746","Rs 0, "
964,DR. KUMAR PUSHPANJAY,Nalanda,LJNSP,0,Doctorate,"Rs 1,37,71,525","Rs 0, "
965,DR. L. K. DESHBHARTAR,Seoni,BSP,0,Post Graduate,"Rs 14,24,695","Rs 0, "
966,DR. LALTLUANGLIANA KHIANGTE,Mizoram,IND,0,Doctorate,"Rs 56,04,209","Rs 11,30,000, "
967,DR. MAHACHANDRA PRASAD SINGH,Maharajganj,IND,0,Doctorate,"Rs 37,79,612","Rs 3,87,780, "
968,DR. MASOOD AHMAD,Moradabad,National Loktantrik Party,0,Doctorate,"Rs 12,00,052","Rs 1,00,000, "
969,DR. MEHBOOB BEG,Anantnag,JKN,0,Doctorate,"Rs 4,65,45,000","Rs 4,94,000, "
970,DR. MOHD IQBAL,Hapur,NBNP,0,Not Given,"Rs 3,24,000","Rs 0, "
971,DR. MOHD UMAR,Balrampur,SP,,Doctorate,"Rs 36,44,853","Rs 0, "
972,DR. MONAZIR HASSAN,Monghyr,JD(U),0,Doctorate,"Rs 3,16,298","Rs 1,63,410, "
973,DR. MOTIUR RAHMAN MONDAL,Dhubri,IND,0,Doctorate,"Rs 19,51,136","Rs 0, "
974,DR. MUKUL SANGMA,Tura,INC,0,Graduate Professional,"Rs 68,44,482","Rs 0, "
975,DR. MURALI MANOHAR JOSHI,Allahabad,BJP,,Post Graduate,"Rs 1,90,31,323","Rs 0, "
976,DR. N. VENKATA SWAMY,Tirupathi,BJP,0,Post Graduate,"Rs 71,27,164","Rs 0, "
977,DR. NATAWADKAR SUHAS JAYANT,Nandurbar,BJP,0,Doctorate,"Rs 43,85,000","Rs 11,25,000, "
978,Dr. Nirmal Kumar Maji,Bolpur,AITC,0,Doctorate,"Rs 1,14,500","Rs 2,50,000, "
979,DR. NIRMAL SINGH,Jammu,BJP,0,Doctorate,"Rs 4,58,748","Rs 0, "
980,DR. P. POOKUNHIKOYA,Lakshadweep,JD(U),0,Graduate Professional,"Rs 39,45,099","Rs 1,03,145, "
981,DR. P.L. PREMI,Karol Bagh,IND,0,Doctorate,"Rs 12,98,160","Rs 68,000, "
982,DR. PARAMESHWAR REDDY,Kurnool,PPOI,0,Graduate Professional,"Rs 78,000","Rs 0, "
983,DR. PATIL SANJAY (DADA) SHAMRAO,Ichalkaranji,SHS,0,Doctorate,"Rs 2,16,07,010","Rs 43,40,958, "
984,DR. PRITAM PRASAD CHAUDHARY,Morena,BSP,,Doctorate,"Rs 15,93,196","Rs 15,000, "
985,DR. RAJESH KUMAR MISHRA,Varanasi,INC,0,Not Given,"Rs 12,41,800","Rs 4,00,000, "
986,DR. RAMESH BHUKAL,Sirsa,BSP,0,Doctorate,"Rs 24,20,600","Rs 8,53,000, "
987,DR. RAMKRISHNA KUSHMARIYA ( BABA JEE ),Khajuraho,BJP,0,Doctorate,"Rs 51,83,173","Rs 9,86,766, "
988,DR. RAMKUMAR SIRMOR,Raipur,IND,,Not Given,"Rs 32,00,000","Rs 0, "
989,DR. RAMKUMAR TRIPATHI ( SEETI),Bhind,IND,0,Doctorate,"Rs 48,000","Rs 0, "
990,DR. RAMLAKHAN SINGH,Bhind,BJP,,Graduate Professional,"Rs 57,74,939","Rs 2,84,945, "
991,DR. RAMSAKHA VERMA,Rewa,IND,0,Graduate Professional,"Rs 2,20,000","Rs 0, "
992,Dr. Ranjit Kumar Panja,Barasat,AITC,0,Doctorate,"Rs 93,11,793","Rs 0, "
993,DR. RAVURI VENKATA SWAMY,Chittoor,INC,0,Graduate,"Rs 1,18,15,429","Rs 2,28,886, "
994,DR. S RAMEGOWDA,Mandya,JD(S),0,Doctorate,"Rs 1,18,27,740","Rs 7,65,000, "
995,DR. SALAM HARISHCHANDRA BHIVRAM,Bhandara,GGP,0,Literate,"Rs 36,71,118","Rs 0, "
996,DR. SALIK TIWARI,Chandauli,BLP,0,Doctorate,"Rs 32,95,610","Rs 5,70,000, "
997,DR. SANJAY KUMAR GUPTA,Chandni Chowk,SHS,0,Post Graduate,"Rs 2,79,000","Rs 8,84,152, "
998,DR. SATYANARAYAN JATIYA,Ujjain,BJP,0,Doctorate,"Rs 27,94,387","Rs 0, "
999,DR. SEBASTIAN PAUL,Ernakulam,IND,0,Doctorate,"Rs 29,93,000","Rs 7,64,304, "
1000,DR. SHAFIQURRAHMAN BARQ,Moradabad,SP,0,Graduate,"Rs 13,49,151","Rs 0, "
1001,DR. SHAKEEL AHMAD,Madhubani,INC,0,Graduate Professional,"Rs 18,59,000","Rs 3,00,000, "
1002,DR. SHRIKANT JICHKAR,Ramtek,INC,,Doctorate,"Rs 2,68,84,089","Rs 20,43,398, "
1003,DR. SITA RAM SINGH,Chatra,IND,0,Graduate Professional,"Rs 11,29,000","Rs 17,442, "
1004,DR. SUDARSAN LOHAR,Keonjhar,IND,0,12th Pass,"Rs 17,32,699","Rs 0, "
1005,DR. SUDHA YADAV,Mahendragarh,BJP,0,Post Graduate,"Rs 65,89,242","Rs 14,20,864, "
1006,DR. SUNIL TUKARAM TORNE,Mumbai North East,BSP,0,Not Given,"Rs 9,20,000","Rs 8,10,000, "
1007,DR. SUSHIL INDORA,Sirsa,INLD,0,Doctorate,"Rs 60,20,496","Rs 13,97,181, "
1008,DR. SYED ROSHAN MULLA,Dharwad South,BSP,0,Post Graduate,Nil,"Rs 0, "
1009,DR. TARA PRASAD DAS,Barpeta,IND,0,12th Pass,"Rs 2,47,25,263","Rs 68,55,406, "
1010,DR. THOKCHOM MEINYA,Inner Manipur,INC,0,Doctorate,"Rs 11,07,278","Rs 80,660, "
1011,DR. ULHAS VASUDEO PATIL,Jalgaon,INC,0,Graduate,"Rs 2,85,99,365","Rs 76,73,660, "
1012,DR. VASANT RUSHI MAHESHKAR (MASRAM),Chandrapur,BBM,0,Graduate,"Rs 9,61,000","Rs 1,50,000, "
1013,DR. VIDYANAND TIWARI,Janjgir,IND,0,Not Given,"Rs 1,00,000","Rs 0, "
1014,DR.DHARMAPUR SAMPATH RAJARAM YADAV,Hanamkonda,IND,0,Others,"Rs 77,00,000","Rs 0, "
1015,DR.M.V.V.S.MURTHY,Visakhapatnam,TDP,0,Not Given,"Rs 2,73,39,275","Rs 0, "
1016,DR.MANDA JAGANNATH,Nagarkurnool,TDP,0,Post Graduate,"Rs 65,45,314","Rs 23,39,000, "
1017,DR.MT. C. SUGUNA,Peddapalli,TDP,0,Post Graduate,"Rs 5,02,79,356","Rs 0, "
1018,DR.URMILA MARKO,Janjgir,GGP,0,Graduate,Nil,"Rs 0, "
1019,DRUPAD BORGOHAIN,Jorhat,CPI,0,Graduate,"Rs 5,46,000","Rs 0, "
1020,DSOUZA WILFRED,Panaji,NCP,0,Graduate Professional,"Rs 1,71,53,854","Rs 44,045, "
1021,DUBEY SATYADEV,Mumbai North West,IND,0,Post Graduate,"Rs 35,99,635","Rs 0, "
1022,DUGGIRALA RAJA  RAMKUMAR,Tenali,IND,0,Post Graduate,"Rs 15,00,000","Rs 0, "
1023,DUGGIREDDY DHARMA REDDY,Rajahmundry,IND,0,Not Given,"Rs 59,500","Rs 0, "
1024,DUKHA BHAGAT,Lohardaga,BJP,,Post Graduate,"Rs 34,466","Rs 0, "
1025,DUKHI RAM,Sasaram,CPI(ML)(L),,12th Pass,"Rs 38,000","Rs 0, "
1026,DULAL CHANDRA BARUAH,Jorhat,AGP,0,Graduate,"Rs 5,73,068","Rs 0, "
1027,Dulal Chandra Das,Barasat,BSP,0,12th Pass,"Rs 25,30,000","Rs 0, "
1028,DULI CHAND MALIK,Karnal,IND,0,Post Graduate,"Rs 19,00,000","Rs 3,27,000, "
1029,DUNNA JANARDHANA RAO,Amalapuram,TDP,0,Graduate,"Rs 9,88,000","Rs 60,000, "
1030,DURGA PRASAD TIWARI AFAT,Faizabad,ABJS,0,Post Graduate,"Rs 75,000","Rs 1,80,000, "
1031,DURGA PRASAD YADAV,Azamgarh,SP,0,Doctorate,"Rs 32,38,633","Rs 86,413, "
1032,DUSHYANT SINGH,Jhalawar,BJP,0,Post Graduate,"Rs 70,82,067","Rs 0, "
1033,DUTIKRISHNA PADHI,Aska,IND,0,10th Pass,"Rs 1,10,000","Rs 0, "
1034,DWARIKA PRASAD,Bansgaon,ASP,,Post Graduate,"Rs 45,000","Rs 0, "
1035,DWARIKA SINGH,Patna,VJP,0,Graduate,"Rs 6,65,000","Rs 0, "
1036,E.  V.  ALIAS BALASAHEB VIKHE PATIL,Kopargaon,INC,0,10th Pass,"Rs 3,69,37,860","Rs 7,64,653, "
1037,E. P. ATTAKOYA THANGAL,Lakshadweep,JP,0,Post Graduate,"Rs 24,61,634","Rs 0, "
1038,EKBAL SIDDIQUI,Balrampur,INC,0,Post Graduate,"Rs 25,97,359","Rs 0, "
1039,EKNATH M. GAIKWAD,Mumbai North Central,INC,0,10th Pass,"Rs 20,45,861","Rs 0, "
1040,"ELANGOVAN, E. V. K. S.",Gobichettipalayam,INC,,Graduate,"Rs 50,31,000","Rs 0, "
1041,ELANGOVAN. P. D.,Dharmapuri,BJP,,Graduate,"Rs 8,65,838","Rs 7,70,223, "
1042,ELWIN TERON,Autonomous District,Autonomous State Demand Committee,0,Post Graduate,"Rs 7,16,926","Rs 0, "
1043,ENGG. JADHAV GOVIND SHANKAR,Dhule,BSP,0,Graduate,"Rs 84,62,430","Rs 2,13,176, "
1044,ENGG.RAMESHWAR KHARE,Bilaspur,BSP,0,Not Given,Nil,"Rs 0, "
1045,ENGI. DUSHYANT ATHAWALE,Aurangabad,Panchayat Raj Party,0,10th Pass,"Rs 11,22,637","Rs 0, "
1046,ER. KUTHE YOGRAJ KRISHNAJI,Chimur,BSP,0,Post Graduate,"Rs 48,70,000","Rs 1,25,000, "
1047,FAGGAN SINGH KULASTE,Mandla,BJP,0,Post Graduate,"Rs 30,91,035","Rs 0, "
1048,FAIYAZUL AZAM,Bettiah,BSP,0,Doctorate,"Rs 27,78,941","Rs 52,921, "
1049,FANI LAL SAH,Banka,IND,0,8th Pass,"Rs 2,42,172","Rs 0, "
1050,FARID MAHFOOZ KI,Kaiserganj,BSP,0,Post Graduate,"Rs 20,11,852","Rs 4,61,922, "
1051,FAZLUL BARI ALIAS BANNE BHAI,Gonda,BSP,0,Post Graduate,"Rs 2,00,417","Rs 0, "
1052,FERNANDES EDWIN,Mormugao,IND,0,Graduate Professional,"Rs 1,55,500","Rs 0, "
1053,FRIDA TOPNO,Sundargarh,INC,0,Post Graduate,"Rs 4,58,520","Rs 0, "
1054,FURKAN ANSARI,Godda,INC,,Graduate,"Rs 14,99,897","Rs 8,00,000, "
1055,G MADAPPA,Shimoga,JD(S),0,Graduate,"Rs 38,95,250","Rs 0, "
1056,G. KARUNAKARA REDDY,Bellary,BJP,0,Graduate,"Rs 1,09,30,950","Rs 4,16,228, "
1057,G. RAMCHANDRAIAH YADAV,Mahabubnagar,BSP,0,Others,Rs 182,"Rs 0, "
1058,G. S. CHAWALA,Bhopal,BSP,0,Graduate,"Rs 39,29,669","Rs 0, "
1059,G. VENKAT SWAMY,Peddapalli,INC,0,10th Pass,"Rs 1,94,64,700","Rs 0, "
1060,G.M. SIDDESWARA,Davangere,BJP,0,10th Pass,"Rs 5,02,82,989","Rs 0, "
1061,G.R.RANA,Kanker,SP,0,Post Graduate,"Rs 12,18,410","Rs 1,95,903, "
1062,G.RAVINDRANATHA REDDY,Cuddapah,JP,0,8th Pass,"Rs 18,11,500","Rs 3,10,000, "
1063,G.SUBASH CHANDERJI,Hyderabad,BJP,0,Others,"Rs 3,38,000","Rs 0, "
1064,G.VENKATESH,Bobbili,TRS,0,Graduate,"Rs 38,000","Rs 0, "
1065,GABBOO,Khalilabad,IND,0,Not Given,"Rs 1,10,000","Rs 0, "
1066,GADAGE GANPATRAO MARUTI,Khed,RSPS,0,10th Pass,"Rs 95,000","Rs 0, "
1067,GADAKH TUKARAM GANGADHAR,Ahmednagar,NCP,,Graduate,"Rs 2,34,46,680","Rs 46,80,000, "
1068,GADDALA NAGABHUSHANAM,Anantapur,BSP,0,Graduate,"Rs 97,000","Rs 9,000, "
1069,GADDIGOUDAR PARVATAGOUDA CHANDANAGOUDA,Bagalkot,BJP,0,Graduate Professional,"Rs 53,75,000","Rs 10,00,000, "
1070,GADE JHANSI,Warangal,IND,0,Graduate,Nil,"Rs 0, "
1071,GADEKAR RAMU,Jalna,BBM,0,Not Given,Nil,"Rs 0, "
1072,GADHAVI PUSHPADAN SHAMBHUDAN,Kutch,BJP,0,Graduate Professional,"Rs 97,30,221","Rs 7,19,633, "
1073,GAFFAR MASTER,Parbhani,SP,0,10th Pass,"Rs 11,70,000","Rs 3,00,000, "
1074,Gaikwad Jayawnt Dharmaji,Pune,BSP,,Graduate,"Rs 2,45,000","Rs 90,000, "
1075,GAIKWAD SURESH DNYANOBA,Nanded,BBM,,10th Pass,"Rs 10,50,000","Rs 6,37,000, "
1076,GAIKWAD VITTHAL BABURAO,Pune,IND,0,12th Pass,"Rs 10,000","Rs 0, "
1077,GAJANAN NAGORAO LONDE,Amravati,IND,0,8th Pass,"Rs 73,500","Rs 0, "
1078,GANAPATI TUKARAM KAMBLE (G.T.),Sangli,IND,0,10th Pass,"Rs 60,000","Rs 0, "
1079,GANDHI NATH,Dhubri,IND,0,Graduate,"Rs 1,31,000","Rs 0, "
1080,GANESAN. L,Tiruchirappalli,MDMK,,Graduate Professional,"Rs 19,00,000","Rs 0, "
1081,Ganesh Das,Barrackpore,IND,,10th Pass,"Rs 18,08,219","Rs 1,50,315, "
1082,GANESH GYANARTHI,Etawah,AD,0,Graduate,"Rs 39,000","Rs 0, "
1083,GANESH PRASAD SINGH,Jahanabad,RJD,0,Post Graduate,"Rs 89,90,298","Rs 2,94,350, "
1084,GANESH SINGH,Satna,BJP,,Post Graduate,"Rs 25,48,143","Rs 2,36,038, "
1085,GANESH YADAV,Balia,BSP,0,Graduate,"Rs 21,31,099","Rs 0, "
1086,GANGA RAM,Bahraich,NCP,0,8th Pass,Nil,"Rs 0, "
1087,GANGA SAGAR,Shahabad,IND,0,12th Pass,"Rs 2,59,668","Rs 0, "
1088,GANGACHARAN RAJPUT,Hamirpur,INC,,Post Graduate,"Rs 71,20,394","Rs 2,46,072, "
1089,GANGADHARAPPA S L,Kolar,JD(S),0,Graduate Professional,"Rs 64,54,942","Rs 1,08,528, "
1090,GANPAT SARAIPALI,Mahasamund,IND,0,Not Given,Nil,"Rs 0, "
1091,GARBADE PARMESHWAR,Jalna,IND,0,Graduate,"Rs 15,000","Rs 18,000, "
1092,GATLA VENKATA NARAYANA REDDY,Vijayawada,IND,0,Post Graduate,"Rs 6,15,000","Rs 0, "
1093,GAURA,Basti,IND,0,Literate,"Rs 50,000","Rs 0, "
