SerialNo,Candidate,Constituency,Party,CriminalCases,Education,Assest,Liabilities
76,Bhola Singh,BULANDSHAHR,BJP,1,Graduate,"Rs 1,87,28,861","Rs 0, "
77,Bholanath (B.P. Saroj),MACHHLISHAHR,BJP,,Graduate,"Rs 25,90,27,394","Rs 1,11,94,163, "
78,Bhonsle Shrimant Chhatrapati Udayanraje Pratapasinh Maharaj,SATARA,NCP,8,12th Pass,"Rs 1,99,68,13,173","Rs 1,23,40,338, "
79,Bidyut Baran Mahato,JAMSHEDPUR,BJP,3,12th Pass,"Rs 2,77,50,671","Rs 29,61,830, "
80,Bishweswar Tudu,MAYURBHANJ,BJP,1,10th Pass,"Rs 27,42,000","Rs 4,00,000, "
81,Brij Bhushan Sharan Singh,KAISERGANJ,BJP,4,Graduate Professional,"Rs 9,89,05,402","Rs 6,15,24,736, "
82,Brijendra Singh,HISAR,BJP,,Post Graduate,"Rs 14,64,08,734","Rs 2,72,25,637, "
83,C Lalrosanga,MIZORAM,MNF,,Graduate,"Rs 13,12,01,374","Rs 0, "
84,Chandan Singh,NAWADA,LJP,2,Graduate,"Rs 17,67,20,167","Rs 47,22,200, "
85,Chandeshwar Prasad,JAHANABAD,JD(U),3,10th Pass,"Rs 13,92,71,693","Rs 0, "
86,Chandra Prakash,CHITTORGARH,BJP,,Graduate,"Rs 1,97,25,115","Rs 1,00,000, "
87,Chandra Prakash Choudhary,GIRIDIH,AJSU Party,2,Graduate,"Rs 1,34,56,889","Rs 13,30,000, "
88,Chandra Sekhar Sahu,BERHAMPUR,BJD,,10th Pass,"Rs 1,17,16,989","Rs 0, "
89,Chandrani Murmu,KEONJHAR,BJD,,Graduate Professional,"Rs 3,40,580","Rs 0, "
90,Chauhan Devusinh,KHEDA,BJP,,Others,"Rs 1,30,23,202","Rs 9,95,240, "
91,Chavda Vinod Lakhamshi,KACHCHH,BJP,,Post Graduate,"Rs 3,35,08,455","Rs 1,24,58,607, "
